  ;OWNER          ;TABLE_NAME                                 ;S;L;HOST        ;T;U;POS;COLS;RECORDS     ;DISK_GB;MAX_MEM_GB;CUR_MEM_GB;MEM_%;CUM_%;PART.;TAB_MEM_GB;IND.;IND_MEM_GB;LOBS;LOB_GB
1 ;SAPBI2         ;/BIC/B0001857002                           ;C;P;vhx5pbi2db04;X; ;  1;  29; 12746321680; 259.80;    261.03;     30.33; 3.05; 3.05;  374;     30.33;   0;      0.00;   0;  0.00
2 ;SAPBI2         ;/BIC/B0001100000                           ;C;P;various     ;X; ;  2;  12;  9882091819; 151.37;    156.05;      5.20; 0.52; 3.58;   12;      5.20;   0;      0.00;   0;  0.00
3 ;SAPBI2         ;/BIC/B0005484000                           ;C;P;various     ;X; ;  3; 242;  1556316955; 126.06;    130.94;     36.01; 3.62; 7.21;  288;     35.84;   0;      0.16;   0;  0.00
4 ;SAPBI2         ;/BIC/B0015179000                           ;C;P;vhx5pbi2db16;X; ;  4;  25;  3452271633; 124.25;    129.14;     11.73; 1.18; 8.39;  148;      9.91;   1;      1.82;   0;  0.00
5 ;SAPBI2         ;/BIC/B0015176000                           ;C;P;vhx5pbi2db15;X; ;  5;  42;  3609813587;  97.94;    101.50;     91.48; 9.21;17.61;   18;     91.31;   0;      0.17;   0;  0.00
6 ;SAPBI2         ;/BIC/B0001647001                           ;C;P;vhx5pbi2db04;X; ;  6; 155;  1438088028;  95.56;     62.00;     33.14; 3.34;20.95;   61;     32.97;   0;      0.16;   0;  0.00
7 ;SAPBI2         ;/BIC/B0000031001                           ;C;P;vhx5pbi2db16;X; ;  7; 136;  1122454386;  75.72;     47.58;     20.42; 2.05;23.01;   85;     20.41;   0;      0.00;   0;  0.00
8 ;SAPBI2         ;RSBMREQ_DTP                                ;C;P;vhx5pbi2db01;X;X;  8;  10;  1275574881;  66.54;     82.63;     82.80; 8.34;31.35;    3;     50.32;   1;     32.48;   0;  0.00
9 ;SAPBI2         ;RSBKSELECT                                 ;C;P;vhx5pbi2db01;X;X;  9;   8;   825106826;  55.82;     63.36;     63.35; 6.38;37.74;    1;      8.43;   1;     54.91;   0;  0.00
10;SAPBI2         ;/BIC/B0000966001                           ;C;P;vhx5pbi2db05;X; ; 10;  25;  1184757323;  53.52;     52.47;      8.24; 0.83;38.57;  165;      8.06;   1;      0.18;   0;  0.00
11;SAPBI2         ;/BIC/B0008823000                           ;C;P;various     ;X; ; 11;  14;  2858971443;  50.37;     50.64;      6.72; 0.67;39.25;  102;      6.72;   0;      0.00;   0;  0.00
12;SAPBI2         ;SXMSCLUR                                   ;R;Y;vhx5pbi2db01;X;X; 12;   9;     3018368;  46.95;      0.91;      0.91; 0.09;39.34;    1;      0.80;   1;      0.11;  H1; 46.15
13;SAPBI2         ;/BIC/B0005401001                           ;C;P;vhx5pbi2db10;X; ; 13; 133;   734568103;  38.60;     30.96;      9.26; 0.93;40.27;   50;      9.26;   0;      0.00;   0;  0.00
14;SAPBI2         ;SOFFCONT1                                  ;C;Y;vhx5pbi2db01;X;X; 14;   7;     1320083;  37.28;      0.06;      0.07; 0.00;40.28;    1;      0.05;   1;      0.02;  H1; 37.21
15;_SYS_STATISTICS;HOST_SERVICE_THREAD_SAMPLES_STATEMENTS_BASE;C;Y;vhx5pbi2db01;X;X; 15;  19;   673585587;  37.14;     47.58;     47.60; 4.79;45.08;    1;     23.99;   1;     23.60;   0;  0.00
16;SAPBI2         ;/BIC/B0007469000                           ;C;P;various     ;X; ; 16;  37;  1387738686;  35.94;     41.29;      2.38; 0.24;45.32;    3;      2.38;   0;      0.00;   0;  0.00
17;SAPBI2         ;BALDAT                                     ;C;Y;vhx5pbi2db01;X;X; 17;   8;  1136741959;  33.53;     47.90;     47.90; 4.82;50.15;    1;     14.81;   1;     33.08;   0;  0.00
18;SAPBI2         ;/BIC/B0001463001                           ;C;P;vhx5pbi2db07;X; ; 18;  11;  2031506260;  32.39;     29.86;     14.59; 1.47;51.62;  202;     14.59;   0;      0.00;   0;  0.00
19;SAPBI2         ;/BIC/B0025125000                           ;C;P;vhx5pbi2db02;X; ; 19;  46;  1781885510;  30.78;     30.32;     19.42; 1.95;53.58;   23;     19.42;   0;      0.00;   0;  0.00
20;SAPBI2         ;RSRWBSTORE                                 ;C;P;vhx5pbi2db01;X;X; 20;   5;    12210122;  30.02;     30.93;     30.00; 3.02;56.60;    1;     29.84;   1;      0.15;   0;  0.00
21;SAPBI2         ;/BIC/B0026970000                           ;C;P;vhx5pbi2db16;X; ; 21;  36;   947183360;  29.20;     26.69;     12.67; 1.27;57.88;   21;     12.65;   0;      0.01;   0;  0.00
22;SAPBI2         ;/BIC/B0024296000                           ;C;P;vhx5pbi2db13;X; ; 22;  32;   647475007;  28.44;     30.89;     15.16; 1.52;59.40;   47;     15.13;   0;      0.02;   0;  0.00
23;SAPBI2         ;/BIC/B0001203000                           ;C;P;vhx5pbi2db15;X; ; 23;  11;  1637868570;  28.17;     23.29;      7.91; 0.79;60.20;  218;      7.91;   0;      0.00;   0;  0.00
24;SAPBI2         ;DBTABLOG                                   ;C;P;vhx5pbi2db01;X;X; 24;  14;   123913267;  23.63;     13.61;     12.91; 1.30;61.50;    1;      9.66;   1;      3.24;  H1; 10.88
25;SAPBI2         ;RSBMLOGPAR_DTP                             ;C;P;vhx5pbi2db01;X;X; 25;   9;   456488898;  23.54;     27.60;     27.74; 2.79;64.30;    1;     10.93;   1;     16.81;   0;  0.00
26;SAPBI2         ;EDID4                                      ;C;Y;vhx5pbi2db01;X;X; 26;  10;   464416947;  23.40;     26.14;     26.11; 2.63;66.93;    4;     20.09;   1;      6.02;   0;  0.00
27;SAPBI2         ;/BIC/B0017060000                           ;C;P;various     ;X; ; 27;  12;  1426107062;  22.81;     20.57;      3.23; 0.32;67.26;   84;      3.23;   0;      0.00;   0;  0.00
28;SAPBI2         ;/BIC/B0008907001                           ;C;P;vhx5pbi2db05;X; ; 28;  29;   553160399;  18.88;     14.86;      3.11; 0.31;67.57;   90;      3.11;   0;      0.00;   0;  0.00
29;SAPBI2         ;/BIC/B0016272000                           ;C;P;vhx5pbi2db06;X; ; 29;  21;   733141660;  17.83;     15.74;      2.98; 0.30;67.87;  100;      2.98;   0;      0.00;   0;  0.00
30;SAPBI2         ;/BIC/B0017058000                           ;C;P;various     ;X; ; 30;  16;   604783089;  17.76;     15.57;      4.92; 0.49;68.37;   42;      4.92;   0;      0.00;   0;  0.00
31;SAPBI2         ;/BIC/B0010235000                           ;C;P;vhx5pbi2db05;X; ; 31; 228;   297325597;  17.53;     17.48;      0.99; 0.10;68.47;   56;      0.99;   0;      0.00;   0;  0.00
32;SAPBI2         ;/BIC/B0016273000                           ;C;P;vhx5pbi2db08;X; ; 32;  29;   633335125;  16.54;     13.93;      3.07; 0.31;68.78;   90;      3.07;   0;      0.00;   0;  0.00
33;SAPBI2         ;/BIC/B0011541000                           ;C;P;vhx5pbi2db11;X; ; 33;   9;  1145293988;  15.05;     14.42;      5.40; 0.54;69.32;   48;      5.40;   0;      0.00;   0;  0.00
34;SAPBI2         ;RSBATCHDATA                                ;C;Y;vhx5pbi2db01;X;X; 34;   8;    36703944;  14.84;     15.63;     15.51; 1.56;70.89;    1;     12.15;   4;      3.36;   0;  0.00
35;SAPBI2         ;/BIC/B0011539001                           ;C;P;vhx5pbi2db18;X; ; 35;  58;   215954796;  14.76;     15.79;      2.72; 0.27;71.16;   20;      2.72;   0;      0.00;   0;  0.00
36;SAPBI2         ;/BIC/B0023686000                           ;C;P;vhx5pbi2db05;X; ; 36;  66;   192739670;  13.78;     14.06;      2.11; 0.21;71.37;   20;      2.11;   0;      0.00;   0;  0.00
37;SAPBI2         ;/BIC/B0009753000                           ;C;P;various     ;X; ; 37;  32;   488546074;  13.72;     12.39;      5.32; 0.53;71.91;   84;      5.32;   0;      0.00;   0;  0.00
38;SAPBI2         ;/BIC/B0002009001                           ;C;P;vhx5pbi2db11;X; ; 38;  14;   519049868;  13.14;     13.89;      2.21; 0.22;72.13;   95;      2.19;   1;      0.02;   0;  0.00
39;SAPBI2         ;/BIC/B0010633000                           ;C;P;vhx5pbi2db06;X; ; 39;  14;   853879992;  12.83;     12.03;      2.15; 0.21;72.35;  109;      2.15;   0;      0.00;   0;  0.00
40;SAPBI2         ;RSBMONMESS_DTP                             ;C;P;vhx5pbi2db01;X;X; 40;  14;   271208341;  12.46;     13.62;     14.18; 1.42;73.78;    1;      7.46;   1;      6.71;   0;  0.00
41;SAPBI2         ;INDX                                       ;C;P;vhx5pbi2db01;X;X; 41;  13;     4264570;  11.29;     11.57;     11.57; 1.16;74.95;    1;     11.49;   1;      0.07;   0;  0.00
42;SAPBI2         ;/BIC/B0008181001                           ;C;P;vhx5pbi2db07;X; ; 42;  13;   720592606;  10.91;      9.93;      3.13; 0.31;75.26;  127;      3.13;   0;      0.00;   0;  0.00
43;SAPBI2         ;BALHDR                                     ;C;Y;vhx5pbi2db01;X;X; 43;  40;   227928264;  10.12;     10.88;     10.87; 1.09;76.36;    1;      5.69;   4;      5.18;   0;  0.00
44;SAPBI2         ;RSZWOBJ                                    ;R;Y;vhx5pbi2db01;X;X; 44;   9;     2743517;   9.56;      9.63;      9.63; 0.97;77.33;    1;      9.56;   1;      0.07;   0;  0.00
45;SAPBI2         ;RSTT_CALLSTACK                             ;C;P;vhx5pbi2db01;X;X; 45;  17;      142208;   9.50;      0.00;      0.00; 0.00;77.33;    1;      0.00;   1;      0.00;  H1;  9.49
46;SAPBI2         ;SXMSCLUP                                   ;R;Y;vhx5pbi2db01;X;X; 46;   8;     2319584;   9.07;      0.30;      0.30; 0.03;77.36;    1;      0.22;   1;      0.08;  H1;  8.85
47;SAPBI2         ;/BIC/B0005976000                           ;C;P;various     ;X; ; 47;  31;   403712645;   8.94;     10.69;      5.44; 0.54;77.91;    6;      5.44;   0;      0.00;   0;  0.00
48;SAPBI2         ;/BIC/B0015175000                           ;C;P;vhx5pbi2db13;X; ; 48;  17;   503276102;   8.94;      8.33;      5.38; 0.54;78.45;   12;      5.38;   0;      0.00;   0;  0.00
49;SAPBI2         ;RSMONMESS                                  ;C;P;vhx5pbi2db01;X;X; 49;  19;    80114598;   8.73;     10.17;     10.21; 1.02;79.48;    1;      2.82;   7;      7.38;   0;  0.00
50;SAPBI2         ;/BIC/B0000017001                           ;C;P;vhx5pbi2db07;X; ; 50;  22;   359320015;   8.54;      8.95;      1.65; 0.16;79.65;   67;      1.14;   1;      0.51;   0;  0.00
